id,sla,overdue,x,y,type
283218-101001102031,176.0,36.0,3162558.59731,13860475.54136,3.0
279462-101001053497,180.0,-112.14,3164455.43,13799328.95,3.0
101000960706,4.0,2.92,3057144.72,13817340.71,3.0
11607548-101000922390,2.0,-1.43,3164182.18,13851420.51,3.0
245721-101001081172,51.0,-166.46,3106347.17,13831727.88,3.0
11668094-101001102913,1.0,-0.4,3133108.9505,13833757.211260002,3.0
11589292-101000878634,1.0,0.57,3174262.22,13795103.23,3.0
247962-101001111870,51.0,-161.84,3106208.47,13783871.25,3.0
4296-101000876068,1.0,11.09,3146067.58356,13811279.18941,2.0
101001184503,5.0,-18.39,3110911.62252,13858641.06209,3.0
101000945620,1.0,-2.96,3082447.7,13836787.67,3.0
11660129-101001081980,14.0,-12.19,3122427.64,13864869.96,3.0
0-101000932129,25.0,-8.79,3119196.14,13829406.41,3.0
101001086663,21.0,0.2,3106448.95,13866446.33,3.0
101001168356,4.0,-5.17,3121073.9995,13816330.753340002,3.0
101000882150,14.0,6.02,3118873.88,13866885.33,3.0
11662523-101001088084,14.0,-12.14,3099805.59,13855754.2,3.0
101000925328,10.0,-6.8,3082727.31,13865292.96,3.0
101000974834,7.0,0.91,3112764.91,13857995.3,3.0
11587339-101000874159,30.0,2.96,3149251.68,13874673.69,3.0
0-101000954593,176.0,-38.87,3140986.66,13916828.49,3.0
